
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006399                       # Number of seconds simulated (Second)
simTicks                                   6398612000                       # Number of ticks simulated (Tick)
finalTick                                  6398612000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      9.34                       # Real time elapsed on the host (Second)
hostTickRate                                685255616                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8618768                       # Number of bytes of host memory used (Byte)
simInsts                                      6761245                       # Number of instructions simulated (Count)
simOps                                        6761245                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   724089                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     724088                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          6398613                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.946366                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.056674                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         7057488                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    41466                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        6905673                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    141                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               337708                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            267199                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 456                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             6388195                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.081005                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.376917                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3219182     50.39%     50.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    977393     15.30%     65.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1365494     21.38%     87.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    341390      5.34%     92.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    327819      5.13%     97.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    101374      1.59%     99.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     35442      0.55%     99.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     18484      0.29%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1617      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               6388195                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     695     15.14%     15.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     15.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.14% # attempts to use FU when none available (Count)
